RELIANCE.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,TCS.NS,KOTAKBANK.NS,HINDUNILVR.NS,BHARTIARTL.NS,LT.NS,SBIN.NS,ASHOKLEY.NS,BIOCON.NS,GLENMARK.NS,JSWSTEEL.NS,MRF.NS,PIDILITIND.NS,TORNTPHARM.NS,UBL.NS,ZEEL.NS,PETRONET.BO,NSE
1133.197876,1015.226257,642.383362,364.750946,1789.614258,1238.25,1564.330933,275.356873,1214.697754,266.149689,83.602783,310.147766,588.959717,255.159286,58157.76953,1117.401001,848.19751,1361.258789,453.932007,177.961258,11168.05
1138.080933,1025.961182,634.008301,363.623169,1801.875488,1234.15979,1569.484375,273.799408,1247.348022,269.642853,83.879616,302.940216,596.521118,254.939209,57436.1875,1109.475952,836.373108,1357.250366,442.460815,179.252792,11301.20
1135.258789,1026.78125,624.71228,363.427094,1810.288574,1235.855713,1565.987427,274.733887,1235.357666,269.116455,82.726151,304.550201,583.495972,252.035156,56628.71094,1100.229858,839.576477,1350.895752,438.701355,183.088348,11341.70
1168.408936,1026.901733,623.74762,368.575439,1803.218384,1246.479492,1578.273438,297.072144,1241.952271,275.002197,85.863571,308.612183,601.253052,257.535248,57305.65234,1113.585205,843.180298,1350.211426,436.677002,187.236984,11343.25
1192.823608,1047.430786,619.976685,380.686432,1801.11499,1260.245483,1596.541504,313.091675,1281.012695,274.571533,85.771278,315.225281,619.790649,256.787231,56772.10938,1107.323364,867.700623,1367.906616,446.895081,187.236984,11426.85
1207.113892,1074.231689,621.292175,384.314789,1790.420044,1258.150879,1608.321411,300.587524,1271.512695,280.552948,86.555649,306.407806,616.961182,251.903198,57014.00391,1151.009644,855.122437,1342.536865,432.628326,189.820084,11462.20
1201.962158,1073.363281,621.204407,380.392242,1778.695801,1265.831909,1598.842285,304.725891,1272.573242,279.356659,86.694061,305.887665,615.741638,252.475174,56762.62109,1144.69873,867.253052,1347.327393,433.592316,185.945435,11532.40
1184.13269,1086.99292,630.149597,387.649017,1825.727051,1321.893799,1563.04248,300.54306,1288.022339,285.577362,86.832474,308.612183,625.937317,253.839218,57207.54297,1140.296021,874.413635,1357.054688,437.881958,185.162643,11521.05
1209.577759,1091.069702,622.826843,390.345764,1810.378052,1340.348389,1562.260254,294.268768,1271.789429,286.10376,85.263779,311.832001,628.181335,259.559296,57033.01563,1149.9823,872.246582,1358.667969,440.87027,188.998199,11456.90
1233.320557,1094.109253,633.39447,390.688995,1810.378052,1344.43811,1564.192749,299.697571,1252.466675,290.027557,84.341011,311.782501,629.888733,253.883179,57043.44922,1151.009644,877.593567,1350.700195,448.96759,191.150772,11354.25
1232.334839,1109.186401,648.039856,385.295502,1803.441895,1348.278687,1553.057007,297.250153,1264.410767,290.745331,83.833466,311.1633,633.498657,248.427109,56579.0625,1151.352173,879.949036,1353.682007,427.230133,189.389572,11483.25
1202.141357,1098.161743,651.679321,384.216766,1795.029053,1332.966553,1544.314209,295.069733,1286.362061,285.242401,82.680016,305.615234,629.547241,251.463165,56153.19922,1159.424072,880.820374,1337.502075,419.181,189.233047,11445.05
1186.641479,1100.646729,644.795044,376.077393,1775.876221,1305.434326,1540.44873,291.020355,1269.806519,281.366425,80.74221,302.296265,620.180969,245.347061,55615.48828,1154.091675,879.195251,1289.744751,401.444061,186.963013,11570.00
1224.988159,1115.144653,638.217834,386.47226,1774.444458,1339.650024,1549.605957,291.73233,1266.16333,290.458221,79.634888,302.865936,633.205994,247.591141,55788.16406,1200.077271,887.509949,1317.460693,405.830078,186.25853,11623.90
1208.860962,1109.40332,639.927856,385.589691,1761.243408,1329.574951,1546.845215,287.015472,1260.306519,295.530457,78.850533,298.358093,625.644592,253.00322,56190.34375,1197.582275,888.970337,1324.157471,407.806213,184.771271,11669.15
1218.492432,1111.019653,647.031372,392.797363,1790.241089,1337.455444,1549.69812,293.645782,1278.983521,305.292145,81.757233,300.661591,634.474426,253.663223,55904.15234,1199.490112,910.828857,1344.150024,426.844513,191.346497,11713.20
1247.028564,1115.361816,662.203003,390.541931,1818.298584,1336.108765,1555.31189,303.301971,1302.502686,308.880981,83.372093,306.878387,637.255066,257.227234,59744.07031,1225.613892,895.047302,1381.300293,416.144531,193.733932,11643.95
1245.102295,1107.184082,665.97406,389.463196,1860.944702,1336.158569,1552.688965,317.230011,1300.243042,314.862457,82.633881,304.748322,634.864624,252.651184,59968.74219,1230.946289,890.52478,1375.483276,402.648987,194.438385,11598.00
1232.110962,1106.170776,660.624451,384.510956,1860.944702,1330.921509,1537.64209,311.489685,1271.005615,306.727722,81.019043,301.132172,625.742188,255.115234,59621.27734,1249.438354,896.884583,1369.666382,389.972809,190.915955,11665.95
1212.265747,1101.925049,655.888855,381.2258,1802.949829,1319.649414,1533.730957,317.541473,1262.381836,307.971802,80.69606,303.534668,638.474609,253.267212,59584.48828,1260.298706,895.118042,1390.098877,402.263397,186.963013,11604.50
